Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~pay-led-pcb-lo.PrjPCB|ReportField=ProjectFullPath~C:\Users\Public\Documents\Altium\pay-led-pcb-lo.PrjPCB|ReportField=Title~Bill of Materials For Project [pay-led-pcb-lo.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~11:43:46 AM|ReportField=ReportDate~2018-06-04|ReportField=ReportDateTime~2018-06-04 11:43:46 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~21|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~UTAT|ReportField=CurrentDate~2018-06-04|ReportField=CurrentTime~11:43:36 AM|ReportField=Date~2018-06-01|ReportField=DocumentFullPathAndName~C:\Users\Public\Documents\Altium\pay-led-pcb-lorna.SchDoc|ReportField=DocumentName~pay-led-pcb-lorna.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~Lorna Lan|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2018-06-04|ReportField=Organization~|ReportField=ProjectName~pay-led-pcb-lo.PrjPCB|ReportField=Revision~v1.0|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~1|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~pay-led-pcb-lo.PrjPCB|ReportField=DataSourceFullPath~C:\Users\Public\Documents\Altium\pay-led-pcb-lo.PrjPCB|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|74LCX08M|14-pin 4 output AND gate|A||74LCX08M|4
2|Cap|Capacitor|C?|RAD-0.3|Cap|3
3|LED0|Typical INFRARED GaAs LED|D?|LED-0|LED0|1
4|MCP23S17||M?||MCP23S17|3
5|Header 8|Header, 8-Pin|P1|HDR1X8|Header 8|1
6|INCOMING SQUARE WAVE HEADER|Header, 10-Pin|P2|DF14-10P-1.25H(55)|Header 10|1
7|Res2|Resistor|R?|AXIAL-0.4|Res2|8
