Field=#~Integer~#~50|Field=Line #~String~Line #~142|Field=Name~String~Name~282|Field=Description~String~Description~198|Field=Designator~String~Designator~194|Field=Quantity~Integer~Quantity~168|Field=Manufacturer 1~String~Manufacturer 1~268|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~372|Field=Manufacturer Lifecycle 1~String~Manufacturer Lifecycle 1~328|Field=Supplier 1~String~Supplier 1~262|Field=Supplier Part Number 1~String~Supplier Part Number 1~318|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~288|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~278|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~obc.PrjPCB|ReportField=ProjectFullPath~C:\Users\Owner\Documents\GitHub\pcbs\bus\obc\obc.PrjPCB|ReportField=Title~Bill of Materials For BOM Document [obc.BomDoc]|ReportField=ReportTime~11:57:34 PM|ReportField=ReportDate~9/3/2019|ReportField=ReportDateTime~9/3/2019 11:57:34 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~70|ReportField=TotalActualPrice~40.44|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~9/3/2019|ReportField=CurrentTime~11:57:20 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Owner\Documents\GitHub\pcbs\pcbs-common\general-designs\schematics\can-SN65HVD233.SchDoc|ReportField=DocumentName~can-SN65HVD233.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~Dylan Vogel|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~8/26/2019|ReportField=Organization~UTAT SS|ReportField=ProjectName~obc.PrjPCB|ReportField=Revision~1.2|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~10|ReportField=Time~|ReportField=Title~SN65HVD233|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~obc.BomDoc|ReportField=DataSourceFullPath~C:\Users\Owner\Documents\GitHub\pcbs\bus\obc\obc.BomDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
11||8MHz Crystal|8MHz Abracom 4-pin crystal.|Y2|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAbracon%26mpn%3DABM3B-8.000MHZ-10-D-1-G-T%26seller%3DDigi-Key%26sku%3D535-13456-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Abracon{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAbracon%26mpn%3DABM3B-8.000MHZ-10-D-1-G-T%26seller%3DDigi-Key%26sku%3D535-13456-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}ABM3B-8.000MHZ-10-D-1-G-T{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAbracon%26mpn%3DABM3B-8.000MHZ-10-D-1-G-T%26seller%3DDigi-Key%26sku%3D535-13456-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}535-13456-1-ND{URL.TIP}Supplier|1.52|1.52
12||ATMEGA64M1|Atmel 8-bit AVR microcontroller.|U18|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMicrochip%2520%252F%2520Atmel%26mpn%3DATMEGA64M1-AU%26seller%3DDigi-Key%26sku%3DATMEGA64M1-AU-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Microchip%20%2F%20Atmel{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMicrochip%2520%252F%2520Atmel%26mpn%3DATMEGA64M1-AU%26seller%3DDigi-Key%26sku%3DATMEGA64M1-AU-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}ATMEGA64M1-AU{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMicrochip%2520%252F%2520Atmel%26mpn%3DATMEGA64M1-AU%26seller%3DDigi-Key%26sku%3DATMEGA64M1-AU-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}ATMEGA64M1-AU-ND{URL.TIP}Supplier|7.16|7.16
13||DPDT|DPDT Switch, customized for the pinout of the JS202011AQN switch.|S1|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DITT%2520C%2526K%26mpn%3DJS202011AQN%26seller%3DDigi-Key%26sku%3D401-2000-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}ITT%20C%26K{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DITT%2520C%2526K%26mpn%3DJS202011AQN%26seller%3DDigi-Key%26sku%3D401-2000-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}JS202011AQN{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DITT%2520C%2526K%26mpn%3DJS202011AQN%26seller%3DDigi-Key%26sku%3D401-2000-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}401-2000-ND{URL.TIP}Supplier||
14||DS3234|SPI bus RTC with integrated crystal and SRAM|U2|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMaxim%26mpn%3DDS3234SN%2523T%2526R%26seller%3DDigi-Key%26sku%3DDS3234SN%2523T%2526RCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Maxim{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMaxim%26mpn%3DDS3234SN%2523T%2526R%26seller%3DDigi-Key%26sku%3DDS3234SN%2523T%2526RCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}DS3234SN%23T%26R{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMaxim%26mpn%3DDS3234SN%2523T%2526R%26seller%3DDigi-Key%26sku%3DDS3234SN%2523T%2526RCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}DS3234SN%23T%26RCT-ND{URL.TIP}Supplier|11.32|11.32
15||SC18IS600IPW/S8HP|SPI to I2C bridge.|U4|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DNXP%2520USA%26mpn%3DSC18IS600IPW%252FS8HP%26seller%3DDigi-Key%26sku%3D568-13690-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}NXP%20USA{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DNXP%2520USA%26mpn%3DSC18IS600IPW%252FS8HP%26seller%3DDigi-Key%26sku%3D568-13690-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}SC18IS600IPW%2FS8HP{URL.TIP}Manufacturer|Unknown|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DNXP%2520USA%26mpn%3DSC18IS600IPW%252FS8HP%26seller%3DDigi-Key%26sku%3D568-13690-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}568-13690-1-ND{URL.TIP}Supplier|4.08|4.08
16||SLW-102-01-G-D|4 pos 100mil pitch low profile header|J8|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSamtec%26mpn%3DSLW-102-01-G-D%26seller%3DDigi-Key%26sku%3DSAM1088-02-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Samtec{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSamtec%26mpn%3DSLW-102-01-G-D%26seller%3DDigi-Key%26sku%3DSAM1088-02-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}SLW-102-01-G-D{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSamtec%26mpn%3DSLW-102-01-G-D%26seller%3DDigi-Key%26sku%3DSAM1088-02-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}SAM1088-02-ND{URL.TIP}Supplier|1.03|1.03
17||SLW-103-01-G-D|6 pos 100mil pitch low profile header|J7|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSamtec%26mpn%3DSLW-103-01-G-D%26seller%3DDigi-Key%26sku%3DSAM1088-03-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Samtec{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSamtec%26mpn%3DSLW-103-01-G-D%26seller%3DDigi-Key%26sku%3DSAM1088-03-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}SLW-103-01-G-D{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSamtec%26mpn%3DSLW-103-01-G-D%26seller%3DDigi-Key%26sku%3DSAM1088-03-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}SAM1088-03-ND{URL.TIP}Supplier||
18||SLW-115-01-G-S|15 Position Receptacle Connector 0.100" (2.54mm) Through Hole Gold|J3|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSamtec%26mpn%3DSLW-115-01-G-S%26seller%3DDigi-Key%26sku%3DSAM1089-15-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Samtec{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSamtec%26mpn%3DSLW-115-01-G-S%26seller%3DDigi-Key%26sku%3DSAM1089-15-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}SLW-115-01-G-S{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSamtec%26mpn%3DSLW-115-01-G-S%26seller%3DDigi-Key%26sku%3DSAM1089-15-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}SAM1089-15-ND{URL.TIP}Supplier||
19||SN65HVD233D|3.3V CAN Transceiver with Standby Mode, Loop-back 8-SOIC -40 to 125|U14|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DSN65HVD233D%26seller%3DDigi-Key%26sku%3D296-14639-5-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Texas%20Instruments{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DSN65HVD233D%26seller%3DDigi-Key%26sku%3D296-14639-5-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}SN65HVD233D{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DSN65HVD233D%26seller%3DDigi-Key%26sku%3D296-14639-5-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}296-14639-5-ND{URL.TIP}Supplier|4.17|4.17
20||SN74HC365PW|Hex non-inverting buffer with 3-state outputs|U17|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DSN74HC365PW%26seller%3DDigi-Key%26sku%3D296-33932-5-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Texas%20Instruments{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DSN74HC365PW%26seller%3DDigi-Key%26sku%3D296-33932-5-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}SN74HC365PW{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DSN74HC365PW%26seller%3DDigi-Key%26sku%3D296-33932-5-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}296-33932-5-ND{URL.TIP}Supplier|0.89332|0.89332
